Dataset,#Samples,#Features,Source,Description,Leak,Synthetic / Unknown origin,Is timesplit appropriate?,Is timesplit used?,Is timesplit possible?,Raw,HomE,HetE,"Semi-
elevators,16599,16,https://openml.org/d/216 ,"This data set addresses a control problem, namely flying an F16 aircraft. The attributes describe the status of the aeroplane, while the goal is to predict the control action on the ailerons of the aircraft. According to the descriptions available, the dataset first appears in a collection of regression datasets by Luis Torgo and Rui Camacho made in 2014, but the original website with the description (ncc.up.pt/~ltorgo/Regression/DataSets.html) seems to no longer respond. The task of controlling a vehicle through machine learning has gained a large interest in the recent years, but it is not done through tabular machine learning, instead often utilizing RL and using wider range of sensors that those used in the non-self-driving version of the vehicle. ",0,0,0,0,0,1,0,0,0,0,2014,1,1,,,
compass,16644,17,https://www.kaggle.com/datasets/danofer/compass?select=cox-violent-parsed.csv ,"This dataset's task is to determine whether a person will be arrested again after their release based on simple statistical features. The dataset first appeared in the paper ""It's COMPASlicated: The Messy Relationship between RAI Datasets and Algorithmic Fairness Benchmarks"" by Bao et al. Seemingly there are a lot of duplicates in the data, which leads to leakage when the random split is applied. Retrieval methods such as TabR achieve large performance gains.",1,0,1,0,0,,,,,1,2017,1,,,,
credit,16714,10,https://www.kaggle.com/c/GiveMeSomeCredit/data?select=cs-training.csv ,"Dataset from the kaggle competition hosted by ""Credit Fusion"". Corresponds to a real world prediction problem. Not possible to create an out-of-time evaluation set. Relatively (relative to modern dataset, e.g. https://www.kaggle.com/competitions/amex-default-prediction/overview) few features available.",0,0,1,0,0,,,,,1,2011,1,,,,
Bike_Sharing_Demand,17379,6,https://openml.org/d/42712 ,"This dataset was produced based on the data by Capital Bikeshare system from 2011 and 2012. The task is to predict the count of bikes in use based on time and the weather conditions. No forecasting FE done, only weather and date is available, forecasting tasks in the real-world, if solved by tabular models involve extensive feature engineering. While the task is to predict demand at a specific time, time-based split is not performed, although it is possible. Due to the random i.i.d. split of the dataset, while predicting on a test object models could use information from the train examples close in time to the test one, which wouldn't be possible in real-life conditions, since a model is used after it is trained.",1,0,1,0,1,,,,,1,2012,1,,,,
fifa,18063,5,https://www.kaggle.com/datasets/stefanoleone992/fifa-22-complete-player-dataset,"This dataset contains information about FIFA soccer players in 2021, and the target variable is their wages. The provided  features include age, weight, height, and information about time spent in the player's club, as well as the price in release clause. This dataset does not correspond to any real-world task, and the provided features are very shallow, as they luck any information about a player's performance in previous games ",0,0,1,0,0,,,,,1,2021,1,,,,
guillermo,20000,4297,http://automl.chalearn.org ,"The data was provided by AutoML challenge, and the dataset was created from objects from another domain, such as text, audio, or video, compressed into tabular form. ",0,0,0,0,0,0,0,1,0,0,2018,,1,,,
California Housing,20640,8,https://www.sciencedirect.com/science/article/abs/pii/S016771529600140X,"This data comes from 1990 US Census data. Each object describes a block group, which on average includes 1425.5 individuals. The features include information about housing units inside a block group, as well as median income reported in the area. The target variable is ln of a median house price. Due to the fact that target variable is averaged across a large amount of houses, KNN algorithms using coordinates of a block are very effective. The housing prices are quickly changing in time, which presents an additional challenge for tabular ML models, however on this dataset a time-based split is implossible. The provided features are also shallow in a comparison to a dataset that may be used in an industrial scenario, e.g. housing dataset included in our publication includes hundreds of features as opposed to this dataset, which includes only 8.",0,0,1,0,0,,,,,1,1990,1,,,,1
houses,20640,8,https://openml.org/d/537 ,"Data source bias, repeated dataset (unkown source in the description, but this is literally california_housing with a different name and two features slightly altered)",0,0,1,0,0,,,,,1,1990,1,,,,
superconduct,21263,79,https://www.frontiersin.org/articles/10.3389/fmats.2021.714752/full,"This dataset presents information about superconductors, with a task of predicting critical temperature.",0,0,0,0,0,,,,,1,2021,1,,,,
house_sales,21613,15,https://openml.org/d/42731 ,"This dataset was created based on public records of house sales from May 2014 to May 2015. While this dataset has several improvements when compared to the california housing dataset, such as not averaging prices in a block, as well as availability of date of sale, the features are still shallow when compared to the housing dataset presented in this paper.",0,0,1,0,1,,,,,1,2015,1,,,,
House 16H,22784,16,https://www.dcc.fc.up.pt/~ltorgo/Regression/census.html,"No time features, comes from US Census 1990. Feature selection was performed, non correlated features were selected for house 16H(hard). Narrow, by definition, less important features. Learning problem, not the most representative for the real world task",0,0,1,0,0,,,,,1,1990,1,,,,1
Tableshift ICU Hospital Mortality,23944,7520,https://arxiv.org/abs/2312.07577 ,"The data comes from MIMIC-III, describing records from Beth Israel Deaconess Medical Center. The data used in this dataset would be more effectively processed as time series and sequences.",0,0,1,0,0,,,,1,,2016,,,,1,
Tableshift ICU Length of stay,23944,7520,https://tableshift.org/,"The data comes from MIMIC-III, describing records from Beth Israel Deaconess Medical Center. The data used in this dataset would be more effectively processed as time series and sequences.",0,0,1,0,0,,,,1,,2016,,,,1,
Tableshift Childhood Lead,27000,8,https://www.cdc.gov/nchs/nhanes/index.htm,"The data comes from CDC National Health and Nutrition Examination Survey, and the task in this dataset is to predict whether a person has high blood lead levels based on answers to a questionnaire.",0,0,1,0,1,,,,,1,2023,,,,1,
nomao,34465,119,https://www.researchgate.net/publication/236168126_Design_and_Analysis_of_the_Nomao_challenge_Active_Learning_in_the_Real-World,"Active learning dataset, the task is determining whether two geo-location points are the same. Hand-labeled by an expert of Nomao.",0,0,0,0,0,,,,,1,2013,,1,,,
electricity,38474,7,https://openml.org/d/151 ,"Data comes from the Australian New South Wales Electricity Market. The task is to predict whether electricity prices will go up or down. When a random split is used, there is a leak in the data, and retrieval methods such as TabR can achieve near 100% accuracy.",1,0,1,0,1,,,,,1,1998,1,1,,,
OnlineNewsPopularity,39644,59,https://openml.org/d/42724 ,"This dataset contains information about articles published by Mashable, and posits a task of predicting number of shared of each article. Features are mostly NLP related, e.g. LDA and number of specific keywords. Would be better solved by NLP approaches. ",0,0,1,0,0,,,,,,2015,1,,,,
jungle-chess,44819,7,https://www.openml.org/search?type=data&status=active&id=41003,"Game simulation, not a real ML task.",0,1,0,0,0,1,0,0,0,0,2014,,1,,,
Adult,48842,33,https://archive.ics.uci.edu/dataset/2/adult ,"One of the most popular tabular datasets, Adult was created by Barry Becker based on the 1994 Census database. The target variable is a binary indicator of whether a person has a yearly income above 50000\$.",0,0,1,0,0,,,,,1,1994,,,,,1
diamonds,53940,9,https://www.diamondse.info/diamond-prices.asp,"The exact source of the data is unclear. The task is to predict the price of a diamond by their characteristics. Diamond prices fluctuate in time, however no timestamp information is available. ",0,0,1,0,0,,,,,1,2015,1,,,,1
Otto Group Products,61878,93,https://www.kaggle.com/competitions/otto-group-product-classification-challenge/ ,"This data comes from 2015 kaggle competition hosted by The Otto Group. The objective is to classify a product's category. Each row corresponds to a single product. There are a total of 93 numerical features, which represent counts of different events. All features have been obfuscated and will not be defined any further. No time meta-feature, no way to ensure there is no time leak (what are the events? what if the distribution of these counts shifts over time?). No canonical split available, no details on the competition website on the nature of the features",0,0,1,0,1,,,,,1,2015,,,,,1
Helena,65196,27,http://automl.chalearn.org ,"The data was provided by AutoML challenge, and the dataset was created from objects from another domain, such as text, audio, or video, compressed into tabular form. ",0,1,0,0,0,,,1,,,2018,,,,,
MiniBooNE,72998,50,https://openml.org/d/41150,Physics simulation,0,0,0,0,0,,,,,1,2005,1,1,,,
Jannis,83733,54,http://automl.chalearn.or ,"The data was provided by AutoML challenge, and the dataset was created from objects from another domain, such as text, audio, or video, compressed into tabular form. ",0,0,0,0,0,,,1,,,2018,1,,,,
Tableshift Readmission,99000,47,https://www.hindawi.com/journals/bmri/2014/781670/,"""This study used the Health Facts database (Cerner Corporation, Kansas City, MO), a national data warehouse that collects comprehensive clinical records across hospitals throughout the United States."" Clinical patient with diabetes data. 47 features with questionnaire like information (num_previous visits, which medication patients were using, which diagnosis patients had). No time feature available. ",0,0,1,0,0,,,,,1,2008,,,,1,
ALOI,108000,128,https://ieeexplore.ieee.org/document/6575194 ,The dataset describes a collection of images provided by Geusebroek et al. The features used in this version are color histogram values. ,0,0,0,0,0,,1,,,,2005,,,,,
road-safety,111762,32,https://openml.org/d/42803 ,"The data describes road accidents in Great Britain from 1979 to 2015. The task is to predict sex of a driver based on information about an accident.  Retrieval methods such as TabR achieve large performance gains, which could signal that there is leakage in the data.",0,0,1,0,1,,,,,1,2015,1,,,,
Tableshift Colege Scorecard,124699,119,https://collegescorecard.ed.gov/,The task is to predict the completion rate for a college. The College Scorecard is an institution-level dataset compiled by the U.S. Department of Education from 1996-present,0,0,1,0,0,,,,,1,2023,,,,1,
medical_charges,163065,3,https://openml.org/d/42720 ,"Public medicare data from 2019. According to openml analysis, only one of the features is important for prediction.",0,0,1,0,0,,,,,1,2019,1,,,,
Black Friday,166821,9,https://datahack.analyticsvidhya.com/contest/black-friday/#ProblemStatement ,"No time split, predicting customers purchase amount from demographic features. ""A retail company “ABC Private Limited” wants to understand the customer purchase behaviour (specifically, purchase amount) against various products of different categories. They have shared purchase summary of various customers for selected high volume products from last month.
The data set also contains customer demographics (age, gender, marital status, city_type, stay_in_current_city), product details (product_id and product category) and Total purchase_amount from last month."" No way to check if the dataset is real. Potential leakage. The task looks artificial we need to predict purchase amount based on 6 user and 3 product features (there are 5k users and 3k unique users and products on 160k samples, mean price for a product is a strong baseline). ",0,0,1,0,0,,,,,,2019,1,,,,1
Facebook Comments Volume,197080,51,https://archive.ics.uci.edu/dataset/363/facebook+comment+volume+dataset ,"This dataset presents information about a facebook post and the target is to determine how many comments will appear within a periof of time.  Leakage. Same comments from different points in time, random split is inappropriate. This case is described in the appendix of a TabR paper, as this model was able to exploit the leak do get extreme performance improvements",1,0,1,0,0,,,,,1,2016,,,,,
Santander Customer Transactions,200000,200,https://www.kaggle.com/competitions/santander-customer-transaction-prediction ,The data comes from 2019 kaggle competition by Santander. The task is to predict whether a customer will make a specific transaction. Performed processing is unknown. Time-based split is appropriate but not possible to perform. ,0,0,1,0,0,,,,,1,2019,,,,,
SGEMM_GPU_kernel_performance,241600,9,https://openml.org/d/43144 ,"Leakage. The task is to predict the time that it takes to multiply two matrices, but 3 out of 4 target variables are given. With them included, all other features have zero random forest importance.",1,0,0,0,0,,,,,1,2018,1,,,,
particulate-matter-ukair-2017,394299,6,https://joss.theoj.org/papers/10.21105/joss.00051,"Hourly particulate matter air polution data of Great Britain for the year 2017. Time features available, prior work use random split. There are only 6 features, describing time and location. This is a time-series forecasting problem (2 features from the original dataset missing). This is more likely a time-series problem, as there are not many heterogeneous features related to the task, only time-based features",0,0,1,0,1,,,,,1,2017,1,,,,
Shifts Weather (in-domain-subset),397099,123,https://github.com/Shifts-Project/shifts ,The dataset first appeared in the 2021 paper concerning distributional shift. Leakage. In-domain version used. Samples from the future used for prediction. Retrieval methods such as TabR achieve large performance improvements.,1,0,0,0,1,,,,,1,2021,,,1,,1
covertype,423680,54,https://dl.acm.org/doi/10.5555/928509,"This dataset comes from 1998 study comparing different methods for predicting forest cover types from cartographic variables. No time features included. Not representative of a real world task: predicting forest cover-type solely from geological and cartographic features comes-up less frequently, than directly processing GNSS data  ",0,0,1,0,0,,,,,1,1998,1,,,,1
albert,425240,79,http://automl.chalearn.org ,"This is an anonymized dataset with unknown origin. Based on the source description, the original data could be of any modality. There is no way to control a train / test split without task details.",0,1,0,0,0,,,1,,,2018,,1,,,
Epsilon,500000,2000,https://k4all.org/project/large-scale-learning-challenge/,"This dataset comes from a 2008 competition ""Large Scale Learning Challenge"" by the K4all foundation. The source of the data is unclear, the dataset might be synthetic. ",0,1,0,0,0,,,,,1,2008,,,,,
Year,515345,90,https://archive.ics.uci.edu/dataset/203/yearpredictionmsd,"This dataset describes musical compositions, with the target variable being a year in which the composition was created. Another domain (audio features - extracted from audio, thus suitable for tabular DL, but DL for audio on raw data is preferable in this domain. Year prediction, solved as a regression task. Dataset does not correspond to a real-world problem (the year meta-data is easy to obtain, no need for prediciton). Problem with the formulation – solving as a classification problem might be preferable (98% + accuracy with a simple NN as reported in https://samyzaf.com/ML/song_year/song_year.html )",0,0,0,0,0,,1,,,,2011,1,,,,
airlines,539382,8,https://openml.org/d/41672,"The airlines dataset was created for the Data Expo competition in 2006 by Elena Ikonomovska. Unfortunately, the competition link provided in the secondary sources does not work anymore. The proposed task for the dataset is to predict flight delays based on Airline, flight number, time, source and destination. While the data is sourced in the real world, and the task of predicting the delay of the flight certainly could be solved with tabular deep learning, the provided features lack most information essential to predicting the delay. Time based train/val/test split is important but impossible to produce with this dataset.",0,0,1,0,0,,,,,1,2006,,1,,,
nyc-taxi-green-dec-2016,581835,9,https://openml.org/d/42729 ,"The data was provided by the New York City Taxi and Limousine Commission, and the task is to predict tip amound based on simple features describing the trip.",0,0,1,0,0,,,,,1,2016,1,,,,
Tableshift Food Stamps,840582,21,https://www.census.gov/programs-surveys/acs/about.html,"Data source bias (US based surveys), comes from ACS. Narrow. No time split provided in the benchmark version. ",0,0,1,0,1,,,,,1,2023,,,,1,
Tableshift Hypertention,846000,14,https://www.cdc.gov/brfss/index.html,Determine whether a person has hypertension from a telephone survey. We use data provided by the Behavioral Risk Factors Surveillance System (BRFSS). BRFSS is a large-scale telephone survey conducted by the Centers of Disease Control and Prevention.,0,0,1,0,1,,,,,1,2021,,,,1,
Broken Machine,900000,58,https://en.wikipedia.org/wiki/HTTP_404 ,"This dataset was not described anywhere, the link to the original publication on kaggle is no longer working. ",0,1,0,0,0,,,,,1,2021?,,,,,
Higgs,940160,24,https://openml.org/d/42769 ,Physics simulation data.,0,0,0,0,0,,,,,1,2014,1,1,,,1
poker-hand,1025009,9,https://archive.ics.uci.edu/dataset/158/poker+hand,"A task of classifying a poker hand based on it's content. One line non-ML solution exists, does not correspond to a real-world ML problem.",0,1,0,0,0,,,,,1,2007,,1,,,
Tableshift Diabetes,1444176,26,https://www.cdc.gov/brfss/index.html,Determine Diabetes diagnosis from a telephone survey. We use data provided by the Behavioral Risk Factors Surveillance System (BRFSS). BRFSS is a large-scale telephone survey conducted by the Centers of Disease Control and Prevention.,0,0,1,0,1,,,,,1,2021,,,,1,
Tableshift Sepsis,1500000,41,https://ieeexplore.ieee.org/document/9005736,"Predict whether a person will develop sepsis in the next 6 months based on the data about their health, including questionnaire answers and patient records.",0,0,1,0,0,,,,1,,2019,,,,1,
Tableshift Income,1600000,15,https://www.census.gov/programs-surveys/acs/about.html,The task is to predict person's income based on their answers to a survey. Data is provided by American Community Survey.,0,0,1,0,1,,,,,1,2018,,,,1,
Tableshift Unemployment,1700000,18,https://www.census.gov/programs-surveys/acs/about.html,The task is to predict whether a person is unemployed based on their answers to a survey. Data is provided by American Community Survey. ,0,0,1,0,1,,,,,1,2018,,,,1,
Tableshift ASSISTMents,2600000,16,https://new.assistments.org/,"Predict whether the student answers correctly. Features include: student-, problem-, and school-level features, the dataset also contains affect predictions for students based on an experimental affect detector implemented in ASSISTments. Timesplit is not possible.",0,0,1,0,0,,,,,1,2013,,,,1,
Tableshift Public Coverage,5900000,11,https://www.census.gov/programs-surveys/acs/about.html,The task is to predict whether a person is covered by public health insurance based on their answers to a survey. Data is provided by American Community Survey. ,0,0,1,0,1,,,,,1,2018,,,,1,
Vessel Power R,554642,10,https://arxiv.org/pdf/2206.15407,"The dataset describes information about a shipping line, with the task of determining how much power is needed.",0,0,1,0,1,,,,,1,2022,,,1,,
Vessel Power S,546543,10,https://arxiv.org/pdf/2206.15407,Synthetic version of Vessel Power dataset,0,1,1,0,1,,,,,1,2022,,,1,,